Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     3584     0.00     0.00  std::complex<double>& std::forward<std::complex<double>&>(std::remove_reference<std::complex<double>&>::type&)
  0.00      0.00     0.00     3584     0.00     0.00  std::complex<double>&& std::forward<std::complex<double> >(std::remove_reference<std::complex<double> >::type&)
  0.00      0.00     0.00     3435     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00     2923     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::__normal_iterator(std::complex<double> const* const&)
  0.00      0.00     0.00     2673     0.00     0.00  std::allocator<std::complex<double> >::allocator(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2673     0.00     0.00  std::__new_allocator<std::complex<double> >::__new_allocator(std::__new_allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2670     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::size() const
  0.00      0.00     0.00     2048     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      0.00     0.00     2048     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.00     0.00     2048     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      0.00     0.00     2048     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.00     0.00     2048     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      0.00     0.00     2048     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.00     0.00     1527     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00      0.00     0.00     1527     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_deallocate(std::complex<double>*, unsigned long)
  0.00      0.00     0.00     1527     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00     1527     0.00     0.00  void std::_Destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00      0.00     0.00     1527     0.00     0.00  void std::_Destroy<std::complex<double>*, std::complex<double> >(std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00      0.00     0.00     1526     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::max_size(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     1526     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_max_size(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     1525     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::begin() const
  0.00      0.00     0.00     1400     0.00     0.00  std::__new_allocator<std::complex<double> >::_M_max_size() const
  0.00      0.00     0.00     1400     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_allocate(unsigned long)
  0.00      0.00     0.00     1400     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     1400     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::~_Vector_base()
  0.00      0.00     0.00     1400     0.00     0.00  std::__new_allocator<std::complex<double> >::deallocate(std::complex<double>*, unsigned long)
  0.00      0.00     0.00     1400     0.00     0.00  std::__new_allocator<std::complex<double> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00     1400     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::deallocate(std::allocator<std::complex<double> >&, std::complex<double>*, unsigned long)
